Time_minutes Average_cpu_utilization Powerdraw_kJ cpu_demand cpu_usage cpu_idle_time
8710 0.1111111111111111 206.76 109533.19754536601 102400.0 24000
8715 0.1111111111111111 206.76 109045.1800983967 102400.0 24000
8720 0.1111111111111111 206.76 109836.25610769402 102400.0 24000
8725 0.1111111111111111 206.76 104800.8153281306 102400.0 24000
8730 0.11104848914493344 206.5724471937567 102342.28759597066 102342.28759597066 24036
8735 0.1111111111111111 206.75520932377876 104967.89365714104 102400.0 24001
8740 0.1111111111111111 206.76 105411.687164064 102400.0 24000
8745 0.1111111111111111 206.76 104699.87946989467 102400.0 24000
8750 0.1111111111111111 206.76 105605.98724715126 102400.0 24000
8755 0.1111111111111111 206.76 103910.3863774477 102400.0 24000
8760 0.1111111111111111 206.76 105870.58599902937 102400.0 24000
8765 0.1111111111111111 206.76 103651.80104334268 102400.0 24000
8770 0.1111111111111111 206.76 105519.93922876983 102400.0 24000
8775 0.1111111111111111 206.76 105001.78608359472 102400.0 24000
8780 0.1111111111111111 206.76 104694.68887753137 102400.0 24000
8785 0.1111111111111111 206.76 103085.83302942135 102400.0 24000
8790 0.10816329604438372 205.63246524713932 99683.29363450404 99683.29363450404 24213
8795 0.10729438256669417 205.0745948085934 98882.50297346535 98882.50297346535 24317
8800 0.105733481646025 204.41107938413322 97443.97668497665 97443.97668497665 24442
8805 0.10256810027239732 203.08091454315186 94526.76121104138 94526.76121104138 24692
8810 0.09996515932410875 201.84392100688814 92127.89083309863 92127.89083309863 24926
8815 0.09645035961268879 200.3796259932071 88888.65141905399 88888.65141905399 25216
8820 0.09671813282542974 200.2229533236772 89135.43121191605 89135.43121191605 25247
8825 0.09804214747328636 200.71887674722075 90355.6431113807 90355.6431113807 25149
8830 0.09774755696389564 200.7081555492878 90084.14849792623 90084.14849792623 25150
8835 0.09694014231403653 200.39627649712563 89340.03515661607 89340.03515661607 25213
8840 0.09590986473630356 199.96724303527176 88390.53134097737 88390.53134097737 25298
8845 0.09447656341794704 199.37707515543698 87069.60084597999 87069.60084597999 25417
8850 0.09505816332466288 199.48325052545965 87605.60332000931 87605.60332000931 25395
8855 0.09468346303625587 199.39023499198257 87260.2795342134 87260.2795342134 25414
8860 0.09142320603667096 198.1895682065934 84255.62668339597 84255.62668339597 25654
8865 0.08850697537375221 196.8792071094066 81568.02850445003 81568.02850445003 25911
8870 0.0860981824341942 195.63432350412012 79348.08493135338 79348.08493135338 26127
8875 0.08788044639916809 196.19028238609434 80990.61940147332 80990.61940147332 26033
8880 0.08611655029544125 195.58860643468796 79365.01275227866 79365.01275227866 26134
8885 0.08376320609864514 194.43173968164623 77196.17074051137 77196.17074051137 26329
8890 0.07895657341725842 192.17569747665524 72766.37806134536 72766.37806134536 26709
